relative_path,image_name,pitch,roll,depth
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00219.jpg,video_14_stable_bot_l6s3_P0_R0_00219.jpg,0,0,0.785
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00222.jpg,video_14_stable_bot_l6s3_P0_R0_00222.jpg,0,0,0.686
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00228.jpg,video_14_stable_bot_l6s3_P0_R0_00228.jpg,0,0,0.991
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00120.jpg,video_14_stable_bot_l6s3_P0_R0_00120.jpg,0,0,0.103
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00198.jpg,video_14_stable_bot_l6s3_P0_R0_00198.jpg,0,0,0.931
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00000.jpg,video_14_stable_bot_l6s3_P0_R0_00000.jpg,0,0,0.415
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00086.jpg,video_14_stable_bot_l6s3_P0_R0_00086.jpg,0,0,0.086
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00036.jpg,video_14_stable_bot_l6s3_P0_R0_00036.jpg,0,0,0.294
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00155.jpg,video_14_stable_bot_l6s3_P0_R0_00155.jpg,0,0,0.647
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00476.jpg,video_14_stable_bot_l6s3_P0_R0_00476.jpg,0,0,0.004
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00068.jpg,video_14_stable_bot_l6s3_P0_R0_00068.jpg,0,0,0.147
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00429.jpg,video_14_stable_bot_l6s3_P0_R0_00429.jpg,0,0,0.006
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00145.jpg,video_14_stable_bot_l6s3_P0_R0_00145.jpg,0,0,0.653
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00081.jpg,video_14_stable_bot_l6s3_P0_R0_00081.jpg,0,0,0.168
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00173.jpg,video_14_stable_bot_l6s3_P0_R0_00173.jpg,0,0,0.833
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00008.jpg,video_14_stable_bot_l6s3_P0_R0_00008.jpg,0,0,0.302
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00159.jpg,video_14_stable_bot_l6s3_P0_R0_00159.jpg,0,0,0.85
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00168.jpg,video_14_stable_bot_l6s3_P0_R0_00168.jpg,0,0,0.932
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00532.jpg,video_14_stable_bot_l6s3_P0_R0_00532.jpg,0,0,0.996
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00298.jpg,video_14_stable_bot_l6s3_P0_R0_00298.jpg,0,0,0.243
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00624.jpg,video_14_stable_bot_l6s3_P0_R0_00624.jpg,0,0,0.422
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00042.jpg,video_14_stable_bot_l6s3_P0_R0_00042.jpg,0,0,0.297
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00244.jpg,video_14_stable_bot_l6s3_P0_R0_00244.jpg,0,0,0.706
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00398.jpg,video_14_stable_bot_l6s3_P0_R0_00398.jpg,0,0,0.01
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00047.jpg,video_14_stable_bot_l6s3_P0_R0_00047.jpg,0,0,0.299
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00165.jpg,video_14_stable_bot_l6s3_P0_R0_00165.jpg,0,0,0.856
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00084.jpg,video_14_stable_bot_l6s3_P0_R0_00084.jpg,0,0,0.112
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00390.jpg,video_14_stable_bot_l6s3_P0_R0_00390.jpg,0,0,0.018
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00049.jpg,video_14_stable_bot_l6s3_P0_R0_00049.jpg,0,0,0.219
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00460.jpg,video_14_stable_bot_l6s3_P0_R0_00460.jpg,0,0,0.003
./2025_Dataset/P0_R0/video_14_stable_bot_l6s3_P0_R0_00064.jpg,video_14_stable_bot_l6s3_P0_R0_00064.jpg,0,0,0.207
